姓名,國文,英文,數學,地理,歷史
蕭怡伶,47,85,57,70,90
郭舜昇,75,82,49,90,74
黃淑芬,77,99,90,60,61
黃奎紹,67,81,99,82,97
鍾俞禎,98,88,94,70,93
黃淑芬,56,75,80,86,80
黃健發,59,89,77,90,74
羅幸娥,88,73,51,89,54
楊韋廷,51,92,97,98,99
王怡君,51,69,66,48,69
郭致恬,47,57,62,91,91
藍姿婷,70,46,90,99,74
林珍旺,64,85,58,61,99
馬彥文,62,82,79,46,70
高士凱,99,56,45,96,47
馬彥文,77,52,98,97,86
呂傑宣,52,90,51,51,98
王人仰,73,76,53,74,64
趙宛真,47,83,48,46,54
趙家豪,94,50,60,89,52
唐雪豪,63,66,60,94,74
林康亮,77,59,80,52,64
王雅慧,63,82,49,70,92
方筠紹,68,78,85,83,99
林佳慧,53,72,86,97,94
周芷蓁,92,83,45,61,81
李蓉瑞,63,87,74,65,97
張凱妮,93,92,94,98,54
朱彥志,57,86,87,98,59
馮耀中,84,52,48,67,47
